"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.441695833E0,5.264552307E0,-5.187312927E0,2.525997162E0,7.810530588E0
1.451760833E0,4.380341034E0,-4.326004028E0,3.293600922E0,6.982084607E0
1.461825833E0,3.320245514E0,-3.597019958E0,3.450624390E0,5.989106071E0
1.471890833E0,4.703219604E0,-1.868115234E0,3.770209808E0,6.310674384E0
1.481955833E0,6.148164825E0,-9.370513916E-2,3.307971039E0,6.982219115E0
1.492020833E0,6.250851288E0,3.956272888E-1,2.058668976E0,6.593009990E0
1.502086833E0,6.298452301E0,2.579136658E-1,8.147557068E-1,6.356166117E0
1.512151833E0,5.642666016E0,-7.644602966E-1,3.697311401E-1,5.706205431E0
1.522216833E0,5.490881653E0,-1.640139313E0,3.309617615E-1,5.740154526E0
1.532281833E0,5.721551971E0,-1.941013641E0,-3.957769775E-1,6.054777480E0
1.542346833E0,5.540129242E0,-2.524799652E0,-8.328680420E-1,6.145023554E0
1.552411833E0,4.988077240E0,-4.524191895E0,1.351689148E-1,6.735539881E0
1.562476833E0,4.437222748E0,-6.996151428E0,5.074447632E-1,8.300155463E0
1.572541833E0,5.367388458E0,-7.403155060E0,2.243833923E-1,9.146907215E0
1.582606833E0,7.056176605E0,-6.861281891E0,4.555027771E-1,9.852629103E0
1.592672833E0,8.587791595E0,-6.012696533E0,2.454895020E-1,1.048632200E1
1.602737833E0,1.001567230E1,-5.961353302E0,-3.344046021E-1,1.166032810E1
1.612802833E0,1.336780151E1,-4.638703766E0,-2.921923828E-1,1.415277592E1
1.622867833E0,1.397448990E1,-1.840722198E0,-1.166075134E-1,1.409568102E1
1.632932833E0,1.829375793E1,-3.980522461E0,4.917573853E0,1.935687658E1
1.642997833E0,1.992970596E1,-1.265408569E1,9.319769440E0,2.538064552E1
1.653062833E0,1.221909027E1,-1.020383102E1,7.394473114E0,1.755285069E1
1.663127833E0,6.079308014E0,-6.633904724E0,5.843997345E0,1.072935146E1
1.673192833E0,6.004763031E0,-9.097631378E0,2.759810944E0,1.124458235E1
1.683257833E0,7.514074402E0,-9.875563660E0,-3.366948395E0,1.285785414E1
1.693323833E0,8.808432770E0,-8.561147003E0,-4.153113556E0,1.296649830E1
1.703388833E0,8.932674408E0,-1.055335419E1,-1.748663635E0,1.393641924E1
