"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.842756037E1,9.074429626E0,-1.350087479E1,8.012837219E-1,1.628683360E1
6.843762638E1,1.286574554E1,-1.538485703E1,2.791694641E-1,2.005739688E1
6.844769237E1,1.205697739E1,-1.554427551E1,1.300794983E0,1.971515337E1
6.845775837E1,7.784561920E0,-1.173619446E1,4.236340485E0,1.470660550E1
6.846782437E1,5.554349670E0,-6.925498352E0,4.567152557E0,9.983597056E0
6.847789137E1,4.922663269E0,-4.433630219E0,4.518204346E0,8.018968829E0
6.848795738E1,4.960684204E0,-3.601211243E0,4.181404724E0,7.420327193E0
6.849802337E1,5.350623322E0,-4.155358887E0,3.537294159E0,7.642553721E0
6.850808937E1,5.355263672E0,-4.993166656E0,2.932252350E0,7.887247054E0
6.851815537E1,5.058131561E0,-5.454956360E0,2.551144867E0,7.864450643E0
6.852822137E1,4.936135254E0,-5.817801819E0,2.333946533E0,7.978693857E0
6.853828738E1,5.044360199E0,-6.380032654E0,2.214794312E0,8.429454331E0
6.854835337E1,5.319488068E0,-7.121440887E0,2.437082062E0,9.216899836E0
6.855841937E1,5.391937408E0,-8.073461151E0,3.017874298E0,1.016667740E1
6.856848537E1,5.315895538E0,-9.175020447E0,3.641776886E0,1.121170301E1
6.857855137E1,4.693489838E0,-1.051308792E1,4.038751373E0,1.220104000E1
6.858861738E1,3.646866302E0,-1.218256622E1,4.078119507E0,1.335461015E1
6.859868337E1,2.791395264E0,-1.310375061E1,4.003724213E0,1.398320332E1
6.860874937E1,1.955084381E0,-1.298579590E1,4.028871918E0,1.373626802E1
6.861881537E1,1.255738678E0,-1.215173035E1,3.949387207E0,1.283896761E1
6.862888129E1,8.072712708E-1,-1.095916031E1,3.704197083E0,1.159637692E1
6.863894729E1,6.514453125E-1,-9.704768829E0,3.127745819E0,1.021712841E1
6.864901329E1,8.083190918E-1,-8.590635681E0,2.389481049E0,8.953324569E0
6.865907929E1,9.798623657E-1,-7.636220398E0,2.029180298E0,7.961756396E0
6.866914529E1,1.135089569E0,-7.158713379E0,1.532213745E0,7.408325353E0
6.867921229E1,1.203497314E0,-7.595954132E0,5.459147644E-1,7.710054986E0
6.868927829E1,1.581161957E0,-8.496032410E0,-4.905299377E-1,8.655822287E0
6.869934429E1,2.068398743E0,-9.131311340E0,-1.653611298E0,9.507552286E0
6.870941029E1,2.503094788E0,-9.370663605E0,-2.751877441E0,1.008204589E1
6.871947629E1,2.813249817E0,-9.348210297E0,-3.521576843E0,1.037809779E1
