"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.006406125E0,6.183641052E0,-5.064268799E0,9.467811584E-1,8.048641481E0
2.016472125E0,5.975723419E0,-5.007836151E0,9.400451660E-1,7.853112645E0
2.026538125E0,5.838758240E0,-5.021607513E0,7.852670288E-1,7.741077710E0
2.036603125E0,5.699847107E0,-5.024152222E0,6.078858948E-1,7.622328243E0
2.046669125E0,5.399571533E0,-5.073549500E0,5.174739075E-1,7.427250939E0
2.056735125E0,4.990472260E0,-5.128784637E0,5.159770203E-1,7.174641281E0
2.066800125E0,4.729415131E0,-5.104984131E0,4.225712585E-1,6.971857494E0
2.076866125E0,4.494703217E0,-5.121749268E0,3.126997375E-1,6.821470053E0
2.086932125E0,4.100572815E0,-5.193300476E0,1.302291870E-1,6.618309972E0
2.096998125E0,3.713627472E0,-5.398823090E0,-1.281335449E-1,6.553986417E0
2.107063125E0,3.441643066E0,-5.714666290E0,-3.785627747E-1,6.681738365E0
2.117129125E0,3.280727692E0,-5.986950073E0,-5.716612244E-1,6.850805932E0
2.127195125E0,3.390748901E0,-6.229445801E0,-7.120692444E-1,7.128128485E0
2.137260125E0,3.637585602E0,-6.359225922E0,-7.104226685E-1,7.360467628E0
2.147326125E0,3.838916931E0,-6.324647827E0,-5.216651917E-1,7.416912290E0
2.157392125E0,4.153562622E0,-6.140231323E0,-2.243833923E-1,7.416526887E0
2.167458125E0,4.756508789E0,-5.942642212E0,8.098159790E-2,7.612222431E0
2.177523500E0,5.517526245E0,-5.905968475E0,1.927990723E-1,8.084598381E0
2.187589500E0,6.595584412E0,-6.240522766E0,4.221221924E-2,9.080068281E0
2.197655500E0,7.697143707E0,-6.735842743E0,-3.646417236E-1,1.023477222E1
2.207721500E0,8.538843384E0,-7.019951935E0,-7.957452393E-1,1.108263425E1
2.217786500E0,9.000483398E0,-7.041357422E0,-1.059197388E0,1.147655501E1
2.227852500E0,9.314230957E0,-7.079528046E0,-1.326840820E0,1.177434169E1
2.237918500E0,9.591604156E0,-7.320676575E0,-1.606010284E0,1.217252828E1
2.247983500E0,9.739346924E0,-7.539970551E0,-1.691632233E0,1.243252404E1
2.258049500E0,1.006671616E1,-7.686815186E0,-1.574276276E0,1.276339483E1
2.268115500E0,1.060544586E1,-7.815846863E0,-1.224004669E0,1.323106691E1
2.278181500E0,1.118324432E1,-7.745792542E0,-7.216493225E-1,1.362288638E1
2.288246500E0,1.194575867E1,-7.659122772E0,-2.303709412E-1,1.419212396E1
2.298312500E0,1.260139526E1,-7.511380005E0,2.139051819E-1,1.467180110E1
2.308378500E0,1.314536407E1,-7.427704010E0,4.528083801E-1,1.510550956E1
2.318443500E0,1.363903748E1,-7.394473114E0,6.155200195E-1,1.552676530E1
2.328509500E0,1.389320892E1,-7.237599335E0,7.940986633E-1,1.568549301E1
2.338575500E0,1.406639877E1,-7.115004272E0,8.373587036E-1,1.578569067E1
2.348641500E0,1.408181671E1,-7.052284698E0,7.508386230E-1,1.576692868E1
2.358706500E0,1.383138748E1,-6.825805664E0,6.110293579E-1,1.543607008E1
2.368772500E0,1.337618408E1,-6.462211761E0,3.342549133E-1,1.485914559E1
2.378838500E0,1.287562500E1,-6.044430542E0,1.871109009E-2,1.422382543E1
2.388903500E0,1.243793518E1,-5.573958893E0,-2.022294617E-1,1.363129290E1
2.398969500E0,1.191357559E1,-4.883444824E0,-3.109034729E-1,1.287936247E1
2.409035500E0,1.172466843E1,-4.267326050E0,-4.558021545E-1,1.248541857E1
2.419101500E0,1.157198593E1,-3.558999023E0,-5.584886169E-1,1.211978721E1
2.429166500E0,1.127051285E1,-2.880160675E0,-5.999523926E-1,1.164816416E1
2.439232500E0,1.088461533E1,-2.424508209E0,-5.786965942E-1,1.116637724E1
2.449298500E0,1.037148239E1,-2.115401001E0,-5.417234802E-1,1.059886941E1
2.459363500E0,9.929152222E0,-1.998344421E0,-5.771997070E-1,1.014468352E1
2.469429500E0,9.537865906E0,-1.956281891E0,-5.954617310E-1,9.754614269E0
2.479495500E0,9.134754181E0,-1.917213135E0,-5.593867493E-1,9.350526920E0
2.489561500E0,8.740474091E0,-1.915716248E0,-5.677693176E-1,8.965947695E0
2.499626500E0,8.455317078E0,-2.008672943E0,-5.216651917E-1,8.706278680E0
2.509692500E0,8.238118744E0,-2.070793762E0,-4.059558105E-1,8.504092389E0
2.519758500E0,8.335117035E0,-2.144889679E0,-2.631527710E-1,8.610689700E0
2.529823500E0,8.665929108E0,-2.265987854E0,5.089416504E-3,8.957290559E0
2.539889500E0,9.245374146E0,-2.447859650E0,3.658392334E-1,9.570935080E0
2.549955500E0,9.946516113E0,-2.552342377E0,9.455836487E-1,1.031221425E1
2.560021500E0,1.048255142E1,-2.596201172E0,1.697170715E0,1.093181290E1
2.570086500E0,1.071786209E1,-2.486030273E0,2.291434937E0,1.123848693E1
2.580152500E0,1.083551743E1,-2.244881744E0,2.629132690E0,1.137366566E1
2.590218500E0,1.085497696E1,-1.897903290E0,2.729573822E0,1.135267083E1
2.600284500E0,1.116617981E1,-1.488953705E0,2.518812103E0,1.154317847E1
