"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.768941078E2,-6.153553619E0,-6.309529266E0,-1.680405579E0,8.972187282E0
1.769041748E2,-6.055507507E0,-6.198909302E0,-1.690734100E0,8.829169242E0
1.769142408E2,-5.979166260E0,-6.195466461E0,-1.691332855E0,8.774670402E0
1.769243068E2,-5.868546295E0,-6.199508057E0,-1.655706940E0,8.695694408E0
1.769343738E2,-5.854026489E0,-6.339766388E0,-1.609453125E0,8.777961230E0
1.769444398E2,-5.807922363E0,-6.482569427E0,-1.606609039E0,8.850811328E0
1.769545058E2,-5.695206757E0,-6.680008850E0,-1.567240906E0,8.917070275E0
1.769645728E2,-5.545817413E0,-6.781946869E0,-1.493144989E0,8.887090417E0
1.769746388E2,-5.354814606E0,-6.831044769E0,-1.417851562E0,8.794743609E0
1.769847048E2,-5.190007324E0,-6.815926208E0,-1.379680939E0,8.677358215E0
1.769947718E2,-5.125790863E0,-6.763535156E0,-1.401984558E0,8.601435955E0
1.770048378E2,-5.266647949E0,-6.775360565E0,-1.518442383E0,8.714858500E0
1.770149048E2,-5.617218933E0,-6.929689636E0,-1.723515930E0,9.085386847E0
1.770249708E2,-6.007906494E0,-7.183112640E0,-2.013163605E0,9.578354522E0
1.770350368E2,-6.249354401E0,-7.539820862E0,-2.282303925E0,1.005545823E1
1.770451038E2,-6.435118103E0,-7.920329590E0,-2.439177704E0,1.049247129E1
1.770551698E2,-6.543642426E0,-8.280929718E0,-2.474803619E0,1.084055839E1
1.770652358E2,-6.419700165E0,-8.516839142E0,-2.327210541E0,1.091627263E1
1.770753028E2,-6.213578796E0,-8.527766418E0,-2.013462982E0,1.074175939E1
1.770853688E2,-6.095175018E0,-8.518934784E0,-1.714684296E0,1.061430877E1
1.770954348E2,-6.002368011E0,-8.545729065E0,-1.427281952E0,1.054016322E1
1.771055018E2,-5.952821045E0,-8.503367157E0,-1.242416382E0,1.045403893E1
1.771155678E2,-6.059399414E0,-8.821156311E0,-1.418600006E0,1.079544098E1
1.771256338E2,-6.209986267E0,-9.171427917E0,-1.725312195E0,1.120962629E1
1.771357008E2,-6.246210938E0,-9.331594849E0,-1.982776794E0,1.140286005E1
1.771457668E2,-6.026617584E0,-9.389674072E0,-2.129322052E0,1.135870200E1
1.771558328E2,-5.803132324E0,-9.340127106E0,-2.181862793E0,1.121047922E1
1.771658998E2,-5.729485474E0,-9.424850922E0,-2.412982178E0,1.129058465E1
1.771759658E2,-5.689069519E0,-9.532028046E0,-2.539319458E0,1.138741472E1
1.771860318E2,-5.626200256E0,-9.466913452E0,-2.307601318E0,1.125173780E1
1.771960988E2,-5.776936798E0,-9.279952240E0,-1.744172974E0,1.106944677E1
1.772061648E2,-6.234385529E0,-9.022337952E0,-1.215322723E0,1.103390930E1
1.772162318E2,-6.910230103E0,-8.770561523E0,-8.388555908E-1,1.119721877E1
1.772262978E2,-7.704777832E0,-8.395291901E0,-6.956034851E-1,1.141614610E1
1.772363638E2,-8.423732758E0,-7.963439941E0,-8.250842285E-1,1.162137743E1
1.772464308E2,-9.006021881E0,-7.510930939E0,-1.178648987E0,1.178608192E1
1.772564968E2,-9.497000885E0,-7.285499725E0,-1.818418579E0,1.210694752E1
1.772665628E2,-9.836644592E0,-7.091203766E0,-2.569556580E0,1.239545758E1
1.772766298E2,-9.919721832E0,-6.886279907E0,-3.313060455E0,1.252190488E1
1.772866958E2,-9.877808990E0,-6.745123444E0,-4.032913513E0,1.262268561E1
1.772967618E2,-9.778265991E0,-6.619833984E0,-4.657414856E0,1.269362836E1
1.773068288E2,-9.529633026E0,-6.405928802E0,-5.064119110E0,1.254970644E1
1.773168948E2,-9.203760681E0,-6.174809418E0,-5.285808105E0,1.227913879E1
